month,enterprise_id,name,total images,direct qc_done,qced_images,incorrect_images,true_accuracy,post_qc_tool_accuracy,customer_segment
Jan-26,00d2aafe9,IM Marketplace GmBH,"276,413","5,459","270,954","17,819", 93.42 %,97.81%,Ent
Jan-26,00ddd69aa,Beck Motors,"1,939",216,"1,723",252, 85.37 %,94.2%,SMB
Jan-26,00e6652a1,Rohrich Automotive Group,"8,601","3,000","5,601",953, 82.99 %,95.88%,Ent
Jan-26,0180ac645,Adams Jeep of Maryland Inc,155,10,145,13, 91.03 %,99.31%,Mid
Jan-26,01b29ad1d,ES Butler Motors Ltd,115,0,115,9, 92.17 %,98.26%,SMB
Jan-26,022fda615,Loyalty Used Car Supercenter,916,807,109,11, 89.91 %,100%,Ent
Jan-26,0256c3bb5,Abdul Majeed Saleh Khader Company,689,561,128,18, 85.94 %,89.06%,SMB
Jan-26,0303712a0,Dave Syverson Auto Center,"1,126",453,673,106, 84.25 %,95.25%,Ent
Jan-26,038268a7d,Auto Dobrovolny V.M. s.r.o.,597,0,597,142, 76.21 %,90.12%,SMB
Jan-26,0466e634b,Tauke Motors Incorporated,"1,408",46,"1,362",239, 82.45 %,97.06%,Mid
Jan-26,04c641d68,Chip Tuning Finland Oy (Autolux),451,25,426,55, 87.09 %,96.24%,SMB
Jan-26,05804cbdf,Motor World Stoke limited,602,0,602,81, 86.54 %,96.35%,SMB
Jan-26,06b94a44d,ml autos,351,0,351,26, 92.59 %,96.01%,SMB
Jan-26,07365da9c,Brownboys Motorclub,319,143,176,14, 92.05 %,97.16%,SMB
Jan-26,07dda277e,Globe Automotive,"2,409",0,"2,409",208, 91.37 %,97.3%,SMB
Jan-26,081c3a3b8,Strategic Vehicle Solutions,"2,245",230,"2,015",131, 93.5 %,96.97%,Mid
Jan-26,08452f559,Forrester Lincoln,"3,220",652,"2,568",439, 82.9 %,93.03%,Mid
Jan-26,08dc7396c,Diffee Ford Lincoln,"1,771",450,"1,321",212, 83.95 %,92.88%,Mid
Jan-26,0933d658a,Greenway Automotive Group,"100,822","7,818","93,004","9,222", 90.08 %,96.89%,Ent
Jan-26,0946c5c48,Haji Zaman Safi Motors FZE,657,0,657,154, 76.56 %,92.09%,SMB
Jan-26,095e38e26,Quality Cars Zaventem,482,15,467,41, 91.22 %,98.29%,SMB
